Sample No,Leaf Petiole Length (cm),Branch Angle (degrees),Leaf Length (cm),Leaf Width (cm),Leaf Aspect Ratio,Outcome
1,8,36,13,6.59,1.97,1
2,9.29,34.7,14.07,4.38,3.21,1
3,5.74,33.4,13.04,5.27,2.47,1
4,6.43,51.1,9.98,5.61,1.78,1
5,5.92,45.3,8.9,4.62,1.92,1
6,6.28,47.3,8.51,5.96,1.43,1
7,5.7,55.2,14.04,5.74,2.45,1
8,7.27,58.4,14.56,5.76,2.53,1
9,6.83,40,12.99,5.36,2.42,1
10,6.76,52.5,8.02,4.42,1.81,1
11,5.67,45.5,10.9,6.15,1.77,1
12,8.94,37.5,13.26,6.56,2.02,1
13,8.24,48.9,13.97,5.35,2.61,1
14,8.05,51.4,9.3,5,1.86,1
15,6.76,58.9,9.52,6.65,1.43,1
16,8.92,42.2,12.86,6.8,1.89,1
17,5.39,39.2,11.14,6.85,1.63,1
18,8.86,42.8,9.81,6.41,1.53,1
19,7.59,48.5,8.29,5.92,1.4,1
20,8.71,35,10.06,4.08,2.47,1
21,6.15,36.2,11.58,5.85,1.98,1
22,7.1,41.5,9.25,4.72,1.96,1
23,7.2,53.3,14.01,5.24,2.67,1
24,9.13,42.5,9.95,4.84,2.05,1
25,5.75,55.4,8.01,6.75,1.19,1
26,7.41,49.7,12.48,5.93,2.12,1
27,5.98,38.1,14.87,4.73,3.14,1
28,9.02,53.8,10.51,6.37,1.65,1
29,6.35,44.9,13.74,4.91,2.79,1
30,8.46,32.9,11.2,4.89,2.28,1
31,5.51,50.6,8.63,6.29,1.37,1
32,7.89,41.2,11.18,3.94,2.84,1
33,6.12,56.7,10.8,7.2,1.5,1
34,8.27,39.9,12.64,6.05,2.09,1
35,7.04,45.8,8.32,4.37,1.91,1
36,9.38,52.1,15.42,5,3.07,1
37,5.81,40.4,10.57,4.58,2.31,1
38,7.63,35.7,8.79,5.11,1.72,1
39,8.54,57.2,14.28,4.9,2.91,1
40,6.91,48.8,9.07,6.12,1.48,1
41,8.18,37.1,12.91,5.01,2.59,1
42,5.23,43.5,8.49,4.62,1.84,1
43,7.35,54.6,15.23,4.52,3.37,1
44,9.09,31.4,10.37,5.32,1.95,1
45,6.48,47.7,11.82,5.44,2.17,1
46,8.31,59.3,9.47,5.88,1.61,1
