Sample No,Leaf Petiole Length (cm),Branch Angle (degrees),Leaf Length (cm),Leaf Width (cm),Leaf Aspect Ratio,Outcome
1,8.0,36,13.0,6.6,1.97,1
2,9.3,35,14.1,4.4,3.21,1
3,5.7,33,13.0,5.3,2.47,1
4,6.4,51,10.0,5.6,1.78,1
5,5.9,45,8.9,4.6,1.92,1
6,6.3,47,8.5,6.0,1.43,1
7,5.7,55,14.0,5.7,2.45,1
8,7.3,58,14.6,5.8,2.53,1
9,6.8,40,13.0,5.4,2.42,1
10,6.8,53,8.0,4.4,1.81,1
11,5.7,46,10.9,6.2,1.77,1
12,8.9,38,13.3,6.6,2.02,1
13,8.2,49,14.0,5.4,2.61,1
14,8.1,51,9.3,5.0,1.86,1
15,6.8,59,9.5,6.7,1.43,1
16,8.9,42,12.9,6.8,1.89,1
17,5.4,39,11.1,6.9,1.63,1
18,8.9,43,9.8,6.4,1.53,1
19,7.6,49,8.3,5.9,1.4,1
20,8.7,35,10.1,4.1,2.47,1
21,6.2,36,11.6,5.9,1.98,1
22,7.1,42,9.3,4.7,1.96,1
23,7.2,53,14.0,5.2,2.67,1
24,9.1,43,10.0,4.8,2.05,1
25,5.8,55,8.0,6.8,1.19,1
26,7.4,50,12.5,5.9,2.12,1
27,6.0,38,14.9,4.7,3.14,1
28,9.0,54,10.5,6.4,1.65,1
29,6.4,45,13.7,4.9,2.79,1
30,8.5,33,11.2,4.9,2.28,1
31,5.5,51,8.6,6.3,1.37,1
32,7.9,41,11.2,3.9,2.84,1
33,6.1,57,10.8,7.2,1.5,1
34,8.3,40,12.6,6.1,2.09,1
35,7.0,46,8.3,4.4,1.91,1
36,9.4,52,15.4,5.0,3.07,1
37,5.8,40,10.6,4.6,2.31,1
38,7.6,36,8.8,5.1,1.72,1
39,8.5,57,14.3,4.9,2.91,1
40,6.9,49,9.1,6.1,1.48,1
41,8.2,37,12.9,5.0,2.59,1
42,5.2,44,8.5,4.6,1.84,1
43,7.4,55,15.2,4.5,3.37,1
44,9.1,31,10.4,5.3,1.95,1
45,6.5,48,11.8,5.4,2.17,1
46,8.3,59,9.5,5.9,1.61,1
47,7.1,42,13.9,5.1,2.72,1
48,5.6,39,8.0,5.5,1.45,1
49,8.7,56,14.1,4.4,3.18,1
50,6.3,42,10.7,4.4,2.44,1
51,0.8,0,12.3,5.8,2.14,2
52,1.0,0,10.5,5.6,1.87,2
53,0.8,0,15.4,4.8,3.21,2
54,1.3,0,14.1,5.7,2.48,2
55,1.0,0,9.2,5.6,1.63,2
56,0.7,0,13.6,4.6,2.94,2
57,1.1,0,11.8,5.8,2.04,2
58,0.9,0,9.0,5.2,1.72,2
59,1.0,0,14.8,4.8,3.1,2
60,0.8,0,12.4,5.3,2.35,2
61,1.3,0,7.8,5.2,1.5,2
62,1.0,0,13.1,4.7,2.76,2
63,0.7,0,9.5,4.8,1.97,2
64,1.1,0,15.7,4.6,3.42,2
65,0.9,0,11.3,5.1,2.19,2
66,0.9,0,8.4,4.6,1.84,2
67,1.1,0,12.0,4.7,2.58,2
68,0.8,0,14.2,4.7,3.02,2
69,1.2,0,8.9,5.3,1.67,2
70,0.8,0,13.8,4.8,2.87,2
71,1.0,0,10.0,5.0,2,2
72,0.7,0,15.0,4.5,3.33,2
73,1.2,0,9.2,5.2,1.76,2
74,0.9,0,11.7,4.8,2.45,2
75,0.6,0,8.3,4.3,1.91,2
76,1.4,0,15.2,4.8,3.18,2
77,1.0,0,10.9,4.8,2.27,2
78,0.7,0,7.5,5.3,1.42,2
79,1.2,0,13.5,4.8,2.84,2
80,0.9,0,9.7,4.6,2.09,2
81,1.0,0,14.9,4.6,3.24,2
82,0.7,0,8.7,4.6,1.89,2
83,1.2,0,12.4,4.7,2.64,2
84,0.8,0,10.5,4.8,2.22,2
85,1.0,0,8.1,5.1,1.58,2
86,0.8,0,13.9,4.7,2.97,2
87,1.2,0,9.2,5.4,1.71,2
88,0.9,0,14.5,4.7,3.08,2
89,0.7,0,8.5,4.0,2.15,2
90,1.3,0,11.5,4.8,2.4,2
91,1.1,0,9.5,4.9,1.94,2
92,0.7,0,13.1,4.7,2.79,2
93,1.2,0,16.0,4.6,3.51,2
94,0.9,0,8.9,5.2,1.69,2
95,1.0,0,10.7,4.6,2.32,2
